NEV;VALUE;M_KOD;VON_IDO
Pécsi járás;278,3703537;TYWA001;2024
Pécsváradi járás;43,79970784;TYWA001;2024
Pétervásárai járás;39,14242411;TYWA001;2024
Pilisvörösvári járás;442,392052;TYWA001;2024
Putnoki járás;42,62274133;TYWA001;2024
Püspökladányi járás;48,34988478;TYWA001;2024
Ráckevei járás;94,29597701;TYWA001;2024
Rétsági járás;55,69960692;TYWA001;2024
Salgótarjáni járás;103,4537908;TYWA001;2024
Sárbogárdi járás;39,8488187;TYWA001;2024
Sarkadi járás;34,22421493;TYWA001;2024
Sárospataki járás;42,92802412;TYWA001;2024
Sárvári járás;53,92291308;TYWA001;2024
Sátoraljaújhelyi járás;60,24643724;TYWA001;2024
Sellyei járás;24,92859892;TYWA001;2024
Siklósi járás;50,99924961;TYWA001;2024
Siófoki járás;76,93174035;TYWA001;2024
Soproni járás;120,7230905;TYWA001;2024
Sümegi járás;45,76287785;TYWA001;2024
Szarvasi járás;50,28862409;TYWA001;2024
Szécsényi járás;60,67869175;TYWA001;2024
Szegedi járás;262,7081366;TYWA001;2024
Szeghalmi járás;35,27072628;TYWA001;2024
Székesfehérvári járás;143,7762104;TYWA001;2024
Szekszárdi járás;79,9670817;TYWA001;2024
Szentendrei járás;269,5602915;TYWA001;2024
Szentesi járás;43,45694485;TYWA001;2024
Szentgotthárdi járás;53,88174404;TYWA001;2024
Szentlőrinci járás;48,11273989;TYWA001;2024
Szerencsi járás;75,75656454;TYWA001;2024
Szigetszentmiklósi járás;610,6686844;TYWA001;2024
Szigetvári járás;34,17534564;TYWA001;2024
Szikszói járás;55,86276032;TYWA001;2024
Szobi járás;57,31821397;TYWA001;2024
Szolnoki járás;117,4689441;TYWA001;2024
Szombathelyi járás;169,8093942;TYWA001;2024
Tabi járás;26,6033143;TYWA001;2024
Tamási járás;32,99901961;TYWA001;2024
Tapolcai járás;59,66153162;TYWA001;2024
Tatabányai járás;253,7234684;TYWA001;2024
Tatai járás;129,6710462;TYWA001;2024
Téti járás;56,40658817;TYWA001;2024
Tiszafüredi járás;42,12141556;TYWA001;2024
Tiszakécskei járás;59,32412128;TYWA001;2024
Tiszaújvárosi járás;116,4798071;TYWA001;2024
Tiszavasvári járás;65,94417508;TYWA001;2024
Tokaji járás;43,88413275;TYWA001;2024
Tolnai járás;83,68251803;TYWA001;2024
Törökszentmiklósi járás;71,20807681;TYWA001;2024
Váci járás;197,2244603;TYWA001;2024
Várpalotai járás;120,2874911;TYWA001;2024
Vásárosnaményi járás;55,01456782;TYWA001;2024
Vasvári járás;34,10129627;TYWA001;2024
Vecsési járás;421,5782881;TYWA001;2024
Veszprémi járás;123,7040214;TYWA001;2024
Záhonyi járás;116,8358946;TYWA001;2024
Zalaegerszegi járás;90,5146172;TYWA001;2024
Zalaszentgróti járás;49,5345627;TYWA001;2024
Zirci járás;54,48613377;TYWA001;2024
Ajkai járás;3242,363636;TYWA002;2024
Aszódi járás;3414,818182;TYWA002;2024
Bácsalmási járás;1697,1;TYWA002;2024
Bajai járás;3479,352941;TYWA002;2024
Baktalórántházai járás;1442,583333;TYWA002;2024
Balassagyarmati járás;1232,551724;TYWA002;2024
Balatonalmádi járás;2452,727273;TYWA002;2024
Balatonfüredi járás;1157,909091;TYWA002;2024
Balmazújvárosi járás;5718,2;TYWA002;2024
Barcsi járás;784;TYWA002;2024
Bátonyterenyei járás;2327,125;TYWA002;2024
Békéscsabai járás;8114,555556;TYWA002;2024
Békési járás;4600,714286;TYWA002;2024
Bélapátfalvai járás;972,125;TYWA002;2024
Berettyóújfalui járás;1617,64;TYWA002;2024
Bicskei járás;2407,666667;TYWA002;2024
Bólyi járás;686;TYWA002;2024
Bonyhádi járás;1097,36;TYWA002;2024
Budakeszi járás;8235,666667;TYWA002;2024
Budapest, illetve fiktív területi egység;1685209;TYWA002;2024
Ceglédi járás;7459,5;TYWA002;2024
Celldömölki járás;793,25;TYWA002;2024
Cigándi járás;949,5333333;TYWA002;2024
Csengeri járás;1122,454545;TYWA002;2024
Csongrádi járás;5138,25;TYWA002;2024
Csornai járás;963,1212121;TYWA002;2024
Csurgói járás;809,3333333;TYWA002;2024
Dabasi járás;4662,272727;TYWA002;2024
Debreceni járás;108175;TYWA002;2024
Derecskei járás;3119,692308;TYWA002;2024
Devecseri járás;495,6785714;TYWA002;2024
Dombóvári járás;1767,1875;TYWA002;2024
Dunakeszi járás;21785,5;TYWA002;2024
Dunaújvárosi járás;5457,5625;TYWA002;2024
Edelényi járás;704,7555556;TYWA002;2024
Egri járás;3623,772727;TYWA002;2024
Encsi járás;733,2068966;TYWA002;2024
Enyingi járás;2147,666667;TYWA002;2024
Érdi járás;18827,14286;TYWA002;2024
Esztergomi járás;3825,416667;TYWA002;2024
Fehérgyarmati járás;686,9;TYWA002;2024
Fonyódi járás;1556,380952;TYWA002;2024
Füzesabonyi járás;1741;TYWA002;2024
Gárdonyi járás;3848,1;TYWA002;2024
Gödöllői járás;10721,86667;TYWA002;2024
Gönci járás;531,6333333;TYWA002;2024
Gyáli járás;10889,25;TYWA002;2024
Gyomaendrődi járás;4042;TYWA002;2024
Gyöngyösi járás;2751,25;TYWA002;2024
Győri járás;5781,742857;TYWA002;2024
Gyulai járás;9128,75;TYWA002;2024
Hajdúböszörményi járás;18788;TYWA002;2024
Hajdúhadházi járás;7866,333333;TYWA002;2024
Hajdúnánási járás;4614;TYWA002;2024
Hajdúszoboszlói járás;8445;TYWA002;2024
Hatvani járás;3537,928571;TYWA002;2024
Hegyháti járás;435,24;TYWA002;2024
Hevesi járás;1939,882353;TYWA002;2024
Hódmezővásárhelyi járás;12756,75;TYWA002;2024
Ibrányi járás;2724,375;TYWA002;2024
Jánoshalmai járás;3041,2;TYWA002;2024
Jászapáti járás;3431,222222;TYWA002;2024
Jászberényi járás;5407;TYWA002;2024
Kalocsai járás;2138,619048;TYWA002;2024
Kaposvári járás;1362,051282;TYWA002;2024
Kapuvári járás;1196,3;TYWA002;2024
Karcagi járás;7504,8;TYWA002;2024
Kazincbarcikai járás;2612,909091;TYWA002;2024
Kecskeméti járás;9719,125;TYWA002;2024
Kemecsei járás;1867,181818;TYWA002;2024
Keszthelyi járás;1598,366667;TYWA002;2024
Kisbéri járás;1115,294118;TYWA002;2024
Kiskőrösi járás;3405,8;TYWA002;2024
Kiskunfélegyházi járás;5863,166667;TYWA002;2024
Kiskunhalasi járás;4393,555556;TYWA002;2024
Kiskunmajsai járás;2981,5;TYWA002;2024
Kisteleki járás;2852,666667;TYWA002;2024
Kisvárdai járás;2184,826087;TYWA002;2024
Komáromi járás;4370,555556;TYWA002;2024
Komlói járás;1566,45;TYWA002;2024
Körmendi járás;534,173913;TYWA002;2024
Kőszegi járás;1218,761905;TYWA002;2024
Kunhegyesi járás;2713,571429;TYWA002;2024
Kunszentmártoni járás;2833,636364;TYWA002;2024
Kunszentmiklósi járás;3224,666667;TYWA002;2024
Lenti járás;364,8125;TYWA002;2024
Letenyei járás;526,1111111;TYWA002;2024
Makói járás;2727,666667;TYWA002;2024
Marcali járás;868,8648649;TYWA002;2024
Martonvásári járás;3514,25;TYWA002;2024
Mátészalkai járás;2273,615385;TYWA002;2024
Mezőcsáti járás;1667;TYWA002;2024
Mezőkovácsházai járás;1776,611111;TYWA002;2024
Mezőkövesdi járás;1667,26087;TYWA002;2024
Mezőtúri járás;4884,6;TYWA002;2024
Miskolci járás;5657,769231;TYWA002;2024
Mohácsi járás;1234,192308;TYWA002;2024
Monori járás;6188,833333;TYWA002;2024
Mórahalmi járás;2843,5;TYWA002;2024
Móri járás;2564,461538;TYWA002;2024
Mosonmagyaróvári járás;3076,346154;TYWA002;2024
Nagyatádi járás;1239,277778;TYWA002;2024
Nagykállói járás;3489,5;TYWA002;2024
Nagykanizsai járás;1411,265306;TYWA002;2024
Nagykátai járás;4901,666667;TYWA002;2024
Nagykőrösi járás;8937,666667;TYWA002;2024
Nyíradonyi járás;3095,333333;TYWA002;2024
Nyírbátori járás;1973,75;TYWA002;2024
Nyíregyházai járás;10751,93333;TYWA002;2024
Orosházi járás;5506;TYWA002;2024
Oroszlányi járás;4204,666667;TYWA002;2024
Ózdi járás;2799,058824;TYWA002;2024
Paksi járás;3036,8;TYWA002;2024
Pannonhalmi járás;933,7058824;TYWA002;2024
Pápai járás;1097,612245;TYWA002;2024
Pásztói járás;1099,846154;TYWA002;2024
Pécsi járás;4336,175;TYWA002;2024
Pécsváradi járás;634,9411765;TYWA002;2024
Pétervásárai járás;929,75;TYWA002;2024
Pilisvörösvári járás;6431,888889;TYWA002;2024
Putnoki járás;641,4230769;TYWA002;2024
Püspökladányi járás;2937,416667;TYWA002;2024
Ráckevei járás;3579,818182;TYWA002;2024
Rétsági járás;969,24;TYWA002;2024
Salgótarjáni járás;1873,655172;TYWA002;2024
Sárbogárdi járás;2170,166667;TYWA002;2024
Sarkadi járás;1776,454545;TYWA002;2024
Sárospataki járás;1281,5625;TYWA002;2024
Sárvári járás;880,0476191;TYWA002;2024
Sátoraljaújhelyi járás;922;TYWA002;2024
Sellyei járás;323,8684211;TYWA002;2024
Siklósi járás;628,3396226;TYWA002;2024
Siófoki járás;2106,166667;TYWA002;2024
Soproni járás;2693,236842;TYWA002;2024
Sümegi járás;667,5714286;TYWA002;2024
Szarvasi járás;4065,5;TYWA002;2024
Szécsényi járás;1235,071429;TYWA002;2024
Szegedi járás;14976,38462;TYWA002;2024
Szeghalmi járás;3598,571429;TYWA002;2024
Székesfehérvári járás;5992,88;TYWA002;2024
Szekszárdi járás;3086,588235;TYWA002;2024
Szentendrei járás;6771,769231;TYWA002;2024
Szentesi járás;4420,875;TYWA002;2024
Szentgotthárdi járás;858,875;TYWA002;2024
Szentlőrinci járás;647,0476191;TYWA002;2024
Szerencsi járás;2270,1875;TYWA002;2024
Szigetszentmiklósi járás;14348;TYWA002;2024
Szigetvári járás;498,7777778;TYWA002;2024
Szikszói járás;719,7916667;TYWA002;2024
Szobi járás;1477,764706;TYWA002;2024
Szolnoki járás;5967,944444;TYWA002;2024
Szombathelyi járás;2743,95;TYWA002;2024
Tabi járás;473,5833333;TYWA002;2024
Tamási járás;1051,84375;TYWA002;2024
Tapolcai járás;976,4242424;TYWA002;2024
Tatabányai járás;8415,5;TYWA002;2024
Tatai járás;3977,4;TYWA002;2024
Téti járás;1098,357143;TYWA002;2024
Tiszafüredi járás;2509,714286;TYWA002;2024
Tiszakécskei járás;4817;TYWA002;2024
Tiszaújvárosi járás;1811,625;TYWA002;2024
Tiszavasvári járás;4193,5;TYWA002;2024
Tokaji járás;1020,545455;TYWA002;2024
Tolnai járás;4293,75;TYWA002;2024
Törökszentmiklósi járás;4725,571429;TYWA002;2024
Váci járás;3943,722222;TYWA002;2024
Várpalotai járás;4424,625;TYWA002;2024
Vásárosnaményi járás;1213,857143;TYWA002;2024
Vasvári járás;554,7391304;TYWA002;2024
Vecsési járás;12621;TYWA002;2024
Veszprémi járás;4099,421053;TYWA002;2024
Záhonyi járás;1548,181818;TYWA002;2024
Zalaegerszegi járás;1125,678571;TYWA002;2024
Zalaszentgróti járás;699,75;TYWA002;2024
Zirci járás;1202,4;TYWA002;2024
Ajkai járás;38,709966;TYWA101;2024
Aszódi járás;27,98913043;TYWA101;2024
Bácsalmási járás;40,44414536;TYWA101;2024
Bajai járás;40,73132738;TYWA101;2024
Baktalórántházai járás;25,91047371;TYWA101;2024
Balassagyarmati járás;36,19545012;TYWA101;2024
Balatonalmádi járás;38,92040365;TYWA101;2024
Balatonfüredi járás;43,84141647;TYWA101;2024
Balmazújvárosi járás;30,91386095;TYWA101;2024
Barcsi járás;34,68044393;TYWA101;2024
Bátonyterenyei járás;38,8035221;TYWA101;2024
Békéscsabai járás;38,94364197;TYWA101;2024
Békési járás;37,32373386;TYWA101;2024
Bélapátfalvai járás;38,79625864;TYWA101;2024
Berettyóújfalui járás;33,52900016;TYWA101;2024
Bicskei járás;28,2910806;TYWA101;2024
Bólyi járás;34,62928169;TYWA101;2024
Bonyhádi járás;39,25813246;TYWA101;2024
Budakeszi járás;27,92900714;TYWA101;2024
Budapest, illetve fiktív területi egység;31,06769351;TYWA101;2024
Ceglédi járás;29,97992454;TYWA101;2024
Celldömölki járás;37,8253449;TYWA101;2024
Cigándi járás;24,04215611;TYWA101;2024
Csengeri járás;31,88838417;TYWA101;2024
Csongrádi járás;41,12877583;TYWA101;2024
Csornai járás;34,58174811;TYWA101;2024
Csurgói járás;34,22904671;TYWA101;2024
Dabasi járás;26,59713168;TYWA101;2024
Debreceni járás;30,05759514;TYWA101;2024
Derecskei járás;27,66365169;TYWA101;2024
Devecseri járás;31,13101904;TYWA101;2024
Dombóvári járás;39,7887525;TYWA101;2024
Dunakeszi járás;26,23403221;TYWA101;2024
Dunaújvárosi járás;33,52471865;TYWA101;2024
Edelényi járás;26,46393566;TYWA101;2024
Egri járás;35,56146595;TYWA101;2024
Encsi járás;23,81793061;TYWA101;2024
Enyingi járás;28,23353764;TYWA101;2024
Érdi járás;27,59055227;TYWA101;2024
Esztergomi járás;31,45107126;TYWA101;2024
Fehérgyarmati járás;30,11118675;TYWA101;2024
Fonyódi járás;42,89784086;TYWA101;2024
Füzesabonyi járás;30,87996415;TYWA101;2024
Gárdonyi járás;33,35124855;TYWA101;2024
Gödöllői járás;25,58862895;TYWA101;2024
Gönci járás;25,51591128;TYWA101;2024
Gyáli járás;24,00840023;TYWA101;2024
Gyomaendrődi járás;39,96022275;TYWA101;2024
Gyöngyösi járás;36,89357714;TYWA101;2024
Győri járás;28,83382754;TYWA101;2024
Gyulai járás;40,70652413;TYWA101;2024
Hajdúböszörményi járás;30,97687433;TYWA101;2024
Hajdúhadházi járás;21,38295099;TYWA101;2024
Hajdúnánási járás;32,71012104;TYWA101;2024
Hajdúszoboszlói járás;34,06259382;TYWA101;2024
Hatvani járás;32,71865121;TYWA101;2024
Hegyháti járás;34,41342398;TYWA101;2024
Hevesi járás;29,21276804;TYWA101;2024
Hódmezővásárhelyi járás;36,26644224;TYWA101;2024
Ibrányi járás;26,38527987;TYWA101;2024
Jánoshalmai járás;34,51546392;TYWA101;2024
Jászapáti járás;30,51652893;TYWA101;2024
Jászberényi járás;33,2174249;TYWA101;2024
Kalocsai járás;39,55506356;TYWA101;2024
Kaposvári járás;36,75309528;TYWA101;2024
Kapuvári járás;36,18516087;TYWA101;2024
Karcagi járás;34,11167513;TYWA101;2024
Kazincbarcikai járás;32,31422161;TYWA101;2024
Kecskeméti járás;30,26427962;TYWA101;2024
Kemecsei járás;24,94238347;TYWA101;2024
Keszthelyi járás;44,42059355;TYWA101;2024
Kisbéri járás;30,01543837;TYWA101;2024
Kiskőrösi járás;36,45247447;TYWA101;2024
Kiskunfélegyházi járás;34,22317138;TYWA101;2024
Kiskunhalasi járás;35,5033557;TYWA101;2024
Kiskunmajsai járás;34,84740318;TYWA101;2024
Kisteleki járás;35,95143935;TYWA101;2024
Kisvárdai járás;28,57962264;TYWA101;2024
Komáromi járás;30,16316838;TYWA101;2024
Komlói járás;41,48303782;TYWA101;2024
Körmendi járás;36,79750223;TYWA101;2024
Kőszegi járás;31,32723384;TYWA101;2024
Kunhegyesi járás;28,10828877;TYWA101;2024
Kunszentmártoni járás;36,39450532;TYWA101;2024
Kunszentmiklósi járás;32,32972178;TYWA101;2024
Lenti járás;43,32805662;TYWA101;2024
Letenyei járás;39,32006263;TYWA101;2024
Makói járás;34,87070629;TYWA101;2024
Marcali járás;39,57602486;TYWA101;2024
Martonvásári járás;25,49885596;TYWA101;2024
Mátészalkai járás;28,01030603;TYWA101;2024
Mezőcsáti járás;25,05773672;TYWA101;2024
Mezőkovácsházai járás;38,51398427;TYWA101;2024
Mezőkövesdi járás;36,40089419;TYWA101;2024
Mezőtúri járás;38,55709825;TYWA101;2024
Miskolci járás;33,73966692;TYWA101;2024
Mohácsi járás;41,17587686;TYWA101;2024
Monori járás;24,4772373;TYWA101;2024
Mórahalmi járás;34,61985071;TYWA101;2024
Móri járás;31,63551402;TYWA101;2024
Mosonmagyaróvári járás;27,79296656;TYWA101;2024
Nagyatádi járás;35,83440217;TYWA101;2024
Nagykállói járás;27,14828897;TYWA101;2024
Nagykanizsai járás;40,24381813;TYWA101;2024
Nagykátai járás;28,82578506;TYWA101;2024
Nagykőrösi járás;30,94639621;TYWA101;2024
Nyíradonyi járás;26,09930628;TYWA101;2024
Nyírbátori járás;24,8199638;TYWA101;2024
Nyíregyházai járás;30,70157886;TYWA101;2024
Orosházi járás;39,62953491;TYWA101;2024
Oroszlányi járás;28,3030158;TYWA101;2024
Ózdi járás;29,6794036;TYWA101;2024
Paksi járás;33,35168806;TYWA101;2024
Pannonhalmi járás;27,51748587;TYWA101;2024
Pápai járás;34,06551845;TYWA101;2024
Pásztói járás;34,3100189;TYWA101;2024
Pécsi járás;34,59800865;TYWA101;2024
Pécsváradi járás;42,25244499;TYWA101;2024
Pétervásárai járás;45,61944495;TYWA101;2024
Pilisvörösvári járás;28,88139765;TYWA101;2024
Putnoki járás;27,82217323;TYWA101;2024
Püspökladányi járás;32,87243533;TYWA101;2024
Ráckevei járás;32,85759469;TYWA101;2024
Rétsági járás;31,31016895;TYWA101;2024
Salgótarjáni járás;37,79488087;TYWA101;2024
Sárbogárdi járás;29,39140811;TYWA101;2024
Sarkadi járás;35,07528787;TYWA101;2024
Sárospataki járás;35,2904725;TYWA101;2024
Sárvári járás;35,51847941;TYWA101;2024
Sátoraljaújhelyi járás;36,09597397;TYWA101;2024
Sellyei járás;30,52013003;TYWA101;2024
Siklósi járás;36,90259554;TYWA101;2024
Siófoki járás;43,25298491;TYWA101;2024
Soproni járás;30,29506931;TYWA101;2024
Sümegi járás;33,70538181;TYWA101;2024
Szarvasi járás;39,96591952;TYWA101;2024
Szécsényi járás;30,55679685;TYWA101;2024
Szegedi járás;32,43276863;TYWA101;2024
Szeghalmi járás;34,49909607;TYWA101;2024
Székesfehérvári járás;33,27783752;TYWA101;2024
Szekszárdi járás;39,66235676;TYWA101;2024
Szentendrei járás;30,96246119;TYWA101;2024
Szentesi járás;38,99584237;TYWA101;2024
Szentgotthárdi járás;34,81415337;TYWA101;2024
Szentlőrinci járás;30,75700829;TYWA101;2024
Szerencsi járás;30,63626493;TYWA101;2024
Szigetszentmiklósi járás;24,17618044;TYWA101;2024
Szigetvári járás;34,29938293;TYWA101;2024
Szikszói járás;25,98178714;TYWA101;2024
Szobi járás;33,1875;TYWA101;2024
Szolnoki járás;35,83928076;TYWA101;2024
Szombathelyi járás;33,17047071;TYWA101;2024
Tabi járás;40,42943919;TYWA101;2024
Tamási járás;36,16377476;TYWA101;2024
Tapolcai járás;41,79298614;TYWA101;2024
Tatabányai járás;29,78624202;TYWA101;2024
Tatai járás;31,34213167;TYWA101;2024
Téti járás;26,90747155;TYWA101;2024
Tiszafüredi járás;39,55436884;TYWA101;2024
Tiszakécskei járás;34,16919625;TYWA101;2024
Tiszaújvárosi járás;32,05335054;TYWA101;2024
Tiszavasvári járás;28,15521944;TYWA101;2024
Tokaji járás;33,93426709;TYWA101;2024
Tolnai járás;35,82548709;TYWA101;2024
Törökszentmiklósi járás;32,54435085;TYWA101;2024
Váci járás;29,5757602;TYWA101;2024
Várpalotai járás;32,87306096;TYWA101;2024
Vásárosnaményi járás;28,9763055;TYWA101;2024
Vasvári járás;33,30088819;TYWA101;2024
Vecsési járás;25,41654314;TYWA101;2024
Veszprémi járás;32,33665777;TYWA101;2024
Záhonyi járás;29,43537353;TYWA101;2024
Zalaegerszegi járás;37,17577813;TYWA101;2024
Zalaszentgróti járás;39,98864282;TYWA101;2024
Zirci járás;34,38669801;TYWA101;2024
Ajkai járás;20,82662373;TYWA102;2024
Aszódi járás;24,35918235;TYWA102;2024
Bácsalmási járás;22,7071717;TYWA102;2024
Bajai járás;20,91771201;TYWA102;2024
Baktalórántházai járás;24,5545415;TYWA102;2024
Balassagyarmati járás;22,00584226;TYWA102;2024
Balatonalmádi járás;22,18307757;TYWA102;2024
Balatonfüredi járás;19,57916346;TYWA102;2024
Balmazújvárosi járás;25,35526891;TYWA102;2024
Barcsi járás;21,33945656;TYWA102;2024
Bátonyterenyei járás;21,90953039;TYWA102;2024
Békéscsabai járás;20,64858722;TYWA102;2024
Békési járás;22,58192651;TYWA102;2024
Bélapátfalvai járás;19,33712891;TYWA102;2024
Berettyóújfalui járás;23,68216452;TYWA102;2024
Bicskei járás;23,79769224;TYWA102;2024
Bólyi járás;24,0063593;TYWA102;2024
Bonyhádi járás;21,24970747;TYWA102;2024
Budakeszi járás;27,84546759;TYWA102;2024
Budapest, illetve fiktív területi egység;18,31517028;TYWA102;2024
Ceglédi járás;24,93683154;TYWA102;2024
Celldömölki járás;20,12516001;TYWA102;2024
Cigándi járás;32,31968383;TYWA102;2024
Csengeri járás;28,35820896;TYWA102;2024
Csongrádi járás;22,24960254;TYWA102;2024
Csornai járás;22,45664311;TYWA102;2024
Csurgói járás;21,11324376;TYWA102;2024
Dabasi járás;25,36742918;TYWA102;2024
Debreceni járás;19,89077022;TYWA102;2024
Derecskei járás;27,77096428;TYWA102;2024
Devecseri járás;24,28891377;TYWA102;2024
Dombóvári járás;21,64430488;TYWA102;2024
Dunakeszi járás;25,0121494;TYWA102;2024
Dunaújvárosi járás;20,26629564;TYWA102;2024
Edelényi járás;32,94295049;TYWA102;2024
Egri járás;20,34849611;TYWA102;2024
Encsi járás;39,3920786;TYWA102;2024
Enyingi járás;23,65236524;TYWA102;2024
Érdi járás;24,77311352;TYWA102;2024
Esztergomi járás;22,7063604;TYWA102;2024
Fehérgyarmati járás;25,75448151;TYWA102;2024
Fonyódi járás;20,45681727;TYWA102;2024
Füzesabonyi járás;25,14983476;TYWA102;2024
Gárdonyi járás;25,74003638;TYWA102;2024
Gödöllői járás;26,00147039;TYWA102;2024
Gönci járás;28,28351013;TYWA102;2024
Gyáli járás;23,5274193;TYWA102;2024
Gyomaendrődi járás;20,8194113;TYWA102;2024
Gyöngyösi járás;21,76754692;TYWA102;2024
Győri járás;22,69296433;TYWA102;2024
