NEV;VALUE;M_KOD;VON_IDO
Borsod-Abaúj-Zemplén vármegye;31,59857524;TYWA101;2024
Budapest;31,06769351;TYWA101;2024
Csongrád-Csanád vármegye;34,50481659;TYWA101;2024
Fejér vármegye;31,75332723;TYWA101;2024
Győr-Moson-Sopron vármegye;29,60059291;TYWA101;2024
Hajdú-Bihar vármegye;30,28113966;TYWA101;2024
Heves vármegye;34,87670163;TYWA101;2024
Jász-Nagykun-Szolnok vármegye;34,50164145;TYWA101;2024
Komárom-Esztergom vármegye;30,43476047;TYWA101;2024
Nógrád vármegye;35,40593183;TYWA101;2024
Pest vármegye;27,46329801;TYWA101;2024
Somogy vármegye;38,64669609;TYWA101;2024
Szabolcs-Szatmár-Bereg vármegye;28,68778307;TYWA101;2024
Tolna vármegye;37,29677017;TYWA101;2024
Vas vármegye;34,19747321;TYWA101;2024
Veszprém vármegye;35,71788508;TYWA101;2024
Zala vármegye;40,00012394;TYWA101;2024
Bács-Kiskun vármegye;22,98593567;TYWA102;2024
Baranya vármegye;20,38031748;TYWA102;2024
Békés vármegye;21,07180913;TYWA102;2024
Borsod-Abaúj-Zemplén vármegye;25,74450714;TYWA102;2024
Budapest;18,31517028;TYWA102;2024
Csongrád-Csanád vármegye;20,56328687;TYWA102;2024
Fejér vármegye;22,64290141;TYWA102;2024
Győr-Moson-Sopron vármegye;22,37968647;TYWA102;2024
Hajdú-Bihar vármegye;23,14336028;TYWA102;2024
Heves vármegye;22,72762776;TYWA102;2024
Jász-Nagykun-Szolnok vármegye;23,64094309;TYWA102;2024
Komárom-Esztergom vármegye;21,96923014;TYWA102;2024
Nógrád vármegye;22,90748119;TYWA102;2024
Pest vármegye;25,09162653;TYWA102;2024
Somogy vármegye;21,29698513;TYWA102;2024
Szabolcs-Szatmár-Bereg vármegye;25,20665066;TYWA102;2024
Tolna vármegye;22,29677017;TYWA102;2024
Vas vármegye;20,79110449;TYWA102;2024
Veszprém vármegye;21,26929109;TYWA102;2024
Zala vármegye;19,4891307;TYWA102;2024
Bács-Kiskun vármegye;150,7179854;TYWA201;2024
Baranya vármegye;176,1180016;TYWA201;2024
Békés vármegye;183,0040208;TYWA201;2024
Borsod-Abaúj-Zemplén vármegye;122,7390956;TYWA201;2024
Budapest;169,6281992;TYWA201;2024
Csongrád-Csanád vármegye;167,798158;TYWA201;2024
Fejér vármegye;140,2352405;TYWA201;2024
Győr-Moson-Sopron vármegye;132,2654495;TYWA201;2024
Hajdú-Bihar vármegye;130,8415861;TYWA201;2024
Heves vármegye;153,45509;TYWA201;2024
Jász-Nagykun-Szolnok vármegye;145,9402077;TYWA201;2024
Komárom-Esztergom vármegye;138,5335775;TYWA201;2024
Nógrád vármegye;154,5605627;TYWA201;2024
Pest vármegye;109,4520436;TYWA201;2024
Somogy vármegye;181,465573;TYWA201;2024
Szabolcs-Szatmár-Bereg vármegye;113,8103727;TYWA201;2024
Tolna vármegye;167,2743177;TYWA201;2024
Vas vármegye;164,4812724;TYWA201;2024
Veszprém vármegye;167,931714;TYWA201;2024
Zala vármegye;205,2432432;TYWA201;2024
Bács-Kiskun vármegye;41,80900547;TYWA202;2024
Baranya vármegye;42,55742161;TYWA202;2024
Békés vármegye;43,37945146;TYWA202;2024
Borsod-Abaúj-Zemplén vármegye;39,97626078;TYWA202;2024
Budapest;41,46571501;TYWA202;2024
Csongrád-Csanád vármegye;42,01731092;TYWA202;2024
Fejér vármegye;41,45490827;TYWA202;2024
Győr-Moson-Sopron vármegye;40,98851349;TYWA202;2024
Hajdú-Bihar vármegye;40,26672795;TYWA202;2024
Heves vármegye;41,4545488;TYWA202;2024
Jász-Nagykun-Szolnok vármegye;41,43709699;TYWA202;2024
Komárom-Esztergom vármegye;41,07787306;TYWA202;2024
Nógrád vármegye;41,83328739;TYWA202;2024
Pest vármegye;39,99445163;TYWA202;2024
Somogy vármegye;43,35192895;TYWA202;2024
Szabolcs-Szatmár-Bereg vármegye;39,54221828;TYWA202;2024
Tolna vármegye;42,66201472;TYWA202;2024
Vas vármegye;42,68871832;TYWA202;2024
Veszprém vármegye;42,8666749;TYWA202;2024
Zala vármegye;44,33430875;TYWA202;2024
Bács-Kiskun vármegye;45,92502784;TYWA203;2024
Baranya vármegye;46,47248506;TYWA203;2024
Békés vármegye;47,39409912;TYWA203;2024
Borsod-Abaúj-Zemplén vármegye;44,32853242;TYWA203;2024
Budapest;45,86624939;TYWA203;2024
Csongrád-Csanád vármegye;46,11429216;TYWA203;2024
Fejér vármegye;45,19306467;TYWA203;2024
Győr-Moson-Sopron vármegye;44,40012502;TYWA203;2024
Hajdú-Bihar vármegye;44,15270273;TYWA203;2024
Heves vármegye;46,0560895;TYWA203;2024
Jász-Nagykun-Szolnok vármegye;45,64021496;TYWA203;2024
Komárom-Esztergom vármegye;45,14848501;TYWA203;2024
Nógrád vármegye;46,32339415;TYWA203;2024
Pest vármegye;43,3482453;TYWA203;2024
Somogy vármegye;47,39322318;TYWA203;2024
Szabolcs-Szatmár-Bereg vármegye;43,3702924;TYWA203;2024
Tolna vármegye;46,99028683;TYWA203;2024
Vas vármegye;46,44228379;TYWA203;2024
Veszprém vármegye;46,53609159;TYWA203;2024
Zala vármegye;48,51961431;TYWA203;2024
Bács-Kiskun vármegye;8,05975235;TYWB001;2024
Baranya vármegye;7,12005439;TYWB001;2024
Békés vármegye;7,3395208;TYWB001;2024
Borsod-Abaúj-Zemplén vármegye;9,7955038;TYWB001;2024
Budapest;7,30728287;TYWB001;2024
Csongrád-Csanád vármegye;7,41334273;TYWB001;2024
Fejér vármegye;8,23337931;TYWB001;2024
Győr-Moson-Sopron vármegye;8,2337278;TYWB001;2024
Hajdú-Bihar vármegye;9,13057725;TYWB001;2024
Heves vármegye;8,28476182;TYWB001;2024
Jász-Nagykun-Szolnok vármegye;8,15941141;TYWB001;2024
Komárom-Esztergom vármegye;7,78577798;TYWB001;2024
Nógrád vármegye;8,29984079;TYWB001;2024
Pest vármegye;8,30376666;TYWB001;2024
Somogy vármegye;7,12256577;TYWB001;2024
Szabolcs-Szatmár-Bereg vármegye;10,25391746;TYWB001;2024
Tolna vármegye;7,4020902;TYWB001;2024
Vas vármegye;6,95832498;TYWB001;2024
Veszprém vármegye;7,03695071;TYWB001;2024
Zala vármegye;5,96720741;TYWB001;2024
Bács-Kiskun vármegye;23,56962025;TYWB002;2024
Baranya vármegye;24,24242424;TYWB002;2024
Békés vármegye;25,8377425;TYWB002;2024
Borsod-Abaúj-Zemplén vármegye;40,34562978;TYWB002;2024
Budapest;15,52200032;TYWB002;2024
Csongrád-Csanád vármegye;18,66759195;TYWB002;2024
Fejér vármegye;20,14492754;TYWB002;2024
Győr-Moson-Sopron vármegye;15,19280206;TYWB002;2024
Hajdú-Bihar vármegye;25,08945485;TYWB002;2024
Heves vármegye;28,24330072;TYWB002;2024
Jász-Nagykun-Szolnok vármegye;33,07772743;TYWB002;2024
Komárom-Esztergom vármegye;21,83760684;TYWB002;2024
Nógrád vármegye;32,79678068;TYWB002;2024
Pest vármegye;16,34034106;TYWB002;2024
Somogy vármegye;35,35645472;TYWB002;2024
Szabolcs-Szatmár-Bereg vármegye;32,26950355;TYWB002;2024
Tolna vármegye;26,95595003;TYWB002;2024
Vas vármegye;15,94877765;TYWB002;2024
Veszprém vármegye;21,91082803;TYWB002;2024
Zala vármegye;25,97150259;TYWB002;2024
Bács-Kiskun vármegye;1,48052886;TYWB003;2024
Baranya vármegye;1,23669315;TYWB003;2024
Békés vármegye;1,42954262;TYWB003;2024
Borsod-Abaúj-Zemplén vármegye;1,7148889;TYWB003;2024
Budapest;1,03925627;TYWB003;2024
Csongrád-Csanád vármegye;1,23724023;TYWB003;2024
Fejér vármegye;1,46690687;TYWB003;2024
Győr-Moson-Sopron vármegye;1,35878484;TYWB003;2024
Hajdú-Bihar vármegye;1,5085566;TYWB003;2024
Heves vármegye;1,49436736;TYWB003;2024
Jász-Nagykun-Szolnok vármegye;1,50245465;TYWB003;2024
Komárom-Esztergom vármegye;1,35417773;TYWB003;2024
Nógrád vármegye;1,57851741;TYWB003;2024
Pest vármegye;1,42031626;TYWB003;2024
Somogy vármegye;1,39529161;TYWB003;2024
Szabolcs-Szatmár-Bereg vármegye;1,74375679;TYWB003;2024
Tolna vármegye;1,43355143;TYWB003;2024
Vas vármegye;1,25551289;TYWB003;2024
Veszprém vármegye;1,32737595;TYWB003;2024
Zala vármegye;1,23111066;TYWB003;2024
Bács-Kiskun vármegye;9,16455696;TYWB004;2024
Baranya vármegye;9,37001595;TYWB004;2024
Békés vármegye;8,86243386;TYWB004;2024
Borsod-Abaúj-Zemplén vármegye;11,41575274;TYWB004;2024
Budapest;6,421497;TYWB004;2024
Csongrád-Csanád vármegye;7,32130465;TYWB004;2024
Fejér vármegye;8,23188406;TYWB004;2024
Győr-Moson-Sopron vármegye;6,81233933;TYWB004;2024
Hajdú-Bihar vármegye;7,93517154;TYWB004;2024
Heves vármegye;9,82560613;TYWB004;2024
Jász-Nagykun-Szolnok vármegye;9,68978738;TYWB004;2024
Komárom-Esztergom vármegye;7,30769231;TYWB004;2024
Nógrád vármegye;11,20053655;TYWB004;2024
Pest vármegye;6,39718488;TYWB004;2024
Somogy vármegye;9,34489403;TYWB004;2024
Szabolcs-Szatmár-Bereg vármegye;8,54796566;TYWB004;2024
Tolna vármegye;8,94148586;TYWB004;2024
Vas vármegye;7,33410943;TYWB004;2024
Veszprém vármegye;6,49681529;TYWB004;2024
Zala vármegye;7,05958549;TYWB004;2024
Bács-Kiskun vármegye;28,55740181;TYWB005;2024
Baranya vármegye;29,16285211;TYWB005;2024
Békés vármegye;28,0248227;TYWB005;2024
Borsod-Abaúj-Zemplén vármegye;26,31748879;TYWB005;2024
Budapest;32,08010262;TYWB005;2024
Csongrád-Csanád vármegye;30,1914812;TYWB005;2024
Fejér vármegye;29,68621134;TYWB005;2024
Győr-Moson-Sopron vármegye;30,15164369;TYWB005;2024
Hajdú-Bihar vármegye;28,70246305;TYWB005;2024
Heves vármegye;27,87573964;TYWB005;2024
Jász-Nagykun-Szolnok vármegye;27,06006768;TYWB005;2024
Komárom-Esztergom vármegye;29,10173578;TYWB005;2024
Nógrád vármegye;26,53938356;TYWB005;2024
Pest vármegye;30,36750464;TYWB005;2024
Somogy vármegye;28,01478642;TYWB005;2024
Szabolcs-Szatmár-Bereg vármegye;26,29018941;TYWB005;2024
Tolna vármegye;28,77328244;TYWB005;2024
Vas vármegye;30,22356688;TYWB005;2024
Veszprém vármegye;29,416826;TYWB005;2024
Zala vármegye;29,39429764;TYWB005;2024
Bács-Kiskun vármegye;9,18987342;TYWB006;2024
Baranya vármegye;9,1307815;TYWB006;2024
Békés vármegye;9,78835979;TYWB006;2024
Borsod-Abaúj-Zemplén vármegye;11,2662014;TYWB006;2024
Budapest;7,17648969;TYWB006;2024
Csongrád-Csanád vármegye;8,50104094;TYWB006;2024
Fejér vármegye;9,10144928;TYWB006;2024
Győr-Moson-Sopron vármegye;8,22622108;TYWB006;2024
Hajdú-Bihar vármegye;8,06146075;TYWB006;2024
Heves vármegye;9,65546576;TYWB006;2024
Jász-Nagykun-Szolnok vármegye;9,55036598;TYWB006;2024
Komárom-Esztergom vármegye;7,94871795;TYWB006;2024
Nógrád vármegye;11,20053655;TYWB006;2024
Pest vármegye;7,94008842;TYWB006;2024
Somogy vármegye;11,31984586;TYWB006;2024
Szabolcs-Szatmár-Bereg vármegye;10,30235162;TYWB006;2024
Tolna vármegye;8,54700855;TYWB006;2024
Vas vármegye;8,32363213;TYWB006;2024
Veszprém vármegye;6,7940552;TYWB006;2024
Zala vármegye;7,77202073;TYWB006;2024
Bács-Kiskun vármegye;1,95949367;TYWB007;2024
Baranya vármegye;1,89832536;TYWB007;2024
Békés vármegye;1,98104056;TYWB007;2024
Borsod-Abaúj-Zemplén vármegye;2,2708541;TYWB007;2024
Budapest;1,59132976;TYWB007;2024
Csongrád-Csanád vármegye;1,87265788;TYWB007;2024
Fejér vármegye;1,86173913;TYWB007;2024
Győr-Moson-Sopron vármegye;1,7403599;TYWB007;2024
Hajdú-Bihar vármegye;1,98295096;TYWB007;2024
Heves vármegye;2,05231816;TYWB007;2024
Jász-Nagykun-Szolnok vármegye;2,04879749;TYWB007;2024
Komárom-Esztergom vármegye;1,93034188;TYWB007;2024
Nógrád vármegye;2,11804158;TYWB007;2024
Pest vármegye;1,85392042;TYWB007;2024
Somogy vármegye;2,03131021;TYWB007;2024
Szabolcs-Szatmár-Bereg vármegye;2,17823815;TYWB007;2024
Tolna vármegye;1,91781723;TYWB007;2024
Vas vármegye;1,80616997;TYWB007;2024
Veszprém vármegye;1,90785563;TYWB007;2024
Zala vármegye;1,81994819;TYWB007;2024
Bács-Kiskun vármegye;14,25657967;TYWB101;2024
Baranya vármegye;14,25714241;TYWB101;2024
Békés vármegye;16,73397797;TYWB101;2024
Borsod-Abaúj-Zemplén vármegye;14,26679808;TYWB101;2024
Budapest;12,08210994;TYWB101;2024
Csongrád-Csanád vármegye;13,75918469;TYWB101;2024
Fejér vármegye;12,55292034;TYWB101;2024
Győr-Moson-Sopron vármegye;11,76428255;TYWB101;2024
Hajdú-Bihar vármegye;12,85122502;TYWB101;2024
Heves vármegye;14,75469916;TYWB101;2024
Jász-Nagykun-Szolnok vármegye;15,71589663;TYWB101;2024
Komárom-Esztergom vármegye;13,645075;TYWB101;2024
Nógrád vármegye;15,75355429;TYWB101;2024
Pest vármegye;11,26549089;TYWB101;2024
Somogy vármegye;15,34645313;TYWB101;2024
Szabolcs-Szatmár-Bereg vármegye;12,81452619;TYWB101;2024
Tolna vármegye;14,90637889;TYWB101;2024
Vas vármegye;13,18760543;TYWB101;2024
Veszprém vármegye;13,64062845;TYWB101;2024
Zala vármegye;14,79821061;TYWB101;2024
Bács-Kiskun vármegye;15,94936709;TYWB102;2024
Baranya vármegye;17,7830941;TYWB102;2024
Békés vármegye;20,72310406;TYWB102;2024
Borsod-Abaúj-Zemplén vármegye;17,53074111;TYWB102;2024
Budapest;16,52053905;TYWB102;2024
Csongrád-Csanád vármegye;19,01457321;TYWB102;2024
Fejér vármegye;16,60869565;TYWB102;2024
Győr-Moson-Sopron vármegye;17,06940874;TYWB102;2024
Hajdú-Bihar vármegye;15,76510208;TYWB102;2024
Heves vármegye;17,65206295;TYWB102;2024
Jász-Nagykun-Szolnok vármegye;17,8807947;TYWB102;2024
Komárom-Esztergom vármegye;14,48717949;TYWB102;2024
Nógrád vármegye;18,57813548;TYWB102;2024
Pest vármegye;16,36740955;TYWB102;2024
Somogy vármegye;17,87090559;TYWB102;2024
Szabolcs-Szatmár-Bereg vármegye;15,86412841;TYWB102;2024
Tolna vármegye;18,54043393;TYWB102;2024
Vas vármegye;14,95925495;TYWB102;2024
Veszprém vármegye;17,49469214;TYWB102;2024
Zala vármegye;19,55958549;TYWB102;2024
Bács-Kiskun vármegye;23,72151899;TYWB103;2024
Baranya vármegye;32,25677831;TYWB103;2024
Békés vármegye;28,39506173;TYWB103;2024
Borsod-Abaúj-Zemplén vármegye;34,13094051;TYWB103;2024
Budapest;17,81945121;TYWB103;2024
Csongrád-Csanád vármegye;23,76821652;TYWB103;2024
Fejér vármegye;21,88405797;TYWB103;2024
Győr-Moson-Sopron vármegye;15,93830334;TYWB103;2024
Hajdú-Bihar vármegye;30,79351715;TYWB103;2024
Heves vármegye;38,62186304;TYWB103;2024
Jász-Nagykun-Szolnok vármegye;41,86127571;TYWB103;2024
Komárom-Esztergom vármegye;24,82905983;TYWB103;2024
Nógrád vármegye;37,62575453;TYWB103;2024
Pest vármegye;19,02012091;TYWB103;2024
Somogy vármegye;43,73795761;TYWB103;2024
Szabolcs-Szatmár-Bereg vármegye;36,67413214;TYWB103;2024
Tolna vármegye;33,85930309;TYWB103;2024
Vas vármegye;19,32479627;TYWB103;2024
Veszprém vármegye;22,33545648;TYWB103;2024
Zala vármegye;31,67098446;TYWB103;2024
Bács-Kiskun vármegye;355,5711059;TYWB104;2024
Baranya vármegye;395,5170654;TYWB104;2024
Békés vármegye;403,4624702;TYWB104;2024
Borsod-Abaúj-Zemplén vármegye;584,5704996;TYWB104;2024
Budapest;202,5567501;TYWB104;2024
Csongrád-Csanád vármegye;294,7482725;TYWB104;2024
Fejér vármegye;330,5122214;TYWB104;2024
Győr-Moson-Sopron vármegye;222,1174359;TYWB104;2024
Hajdú-Bihar vármegye;465,1321097;TYWB104;2024
Heves vármegye;579,9414483;TYWB104;2024
Jász-Nagykun-Szolnok vármegye;630,2834799;TYWB104;2024
Komárom-Esztergom vármegye;342,8499672;TYWB104;2024
Nógrád vármegye;586,2497527;TYWB104;2024
Pest vármegye;277,6867309;TYWB104;2024
Somogy vármegye;611,7710829;TYWB104;2024
Szabolcs-Szatmár-Bereg vármegye;636,8603099;TYWB104;2024
Tolna vármegye;500,0530637;TYWB104;2024
Vas vármegye;254,0244386;TYWB104;2024
Veszprém vármegye;296,2998452;TYWB104;2024
Zala vármegye;390,0453676;TYWB104;2024
Bács-Kiskun vármegye;3,5443038;TYWB105;2024
Baranya vármegye;1,99362041;TYWB105;2024
Békés vármegye;3,96825397;TYWB105;2024
Borsod-Abaúj-Zemplén vármegye;5,64971751;TYWB105;2024
Budapest;2,84137035;TYWB105;2024
Csongrád-Csanád vármegye;2,42886884;TYWB105;2024
Fejér vármegye;2,02898551;TYWB105;2024
Győr-Moson-Sopron vármegye;2,05655527;TYWB105;2024
Hajdú-Bihar vármegye;4,84108609;TYWB105;2024
Heves vármegye;6,38026372;TYWB105;2024
Jász-Nagykun-Szolnok vármegye;6,27396305;TYWB105;2024
Komárom-Esztergom vármegye;2,13675214;TYWB105;2024
Nógrád vármegye;4,02414487;TYWB105;2024
Pest vármegye;3,51890282;TYWB105;2024
Somogy vármegye;3,85356455;TYWB105;2024
Szabolcs-Szatmár-Bereg vármegye;5,41246734;TYWB105;2024
Tolna vármegye;3,28731098;TYWB105;2024
Vas vármegye;6,98486612;TYWB105;2024
Veszprém vármegye;3,3970276;TYWB105;2024
Zala vármegye;3,23834197;TYWB105;2024
Bács-Kiskun vármegye;5,5;TYWB106;2024
Baranya vármegye;4,8;TYWB106;2024
Békés vármegye;6,6;TYWB106;2024
Borsod-Abaúj-Zemplén vármegye;9,1;TYWB106;2024
Budapest;3,6;TYWB106;2024
Csongrád-Csanád vármegye;6,9;TYWB106;2024
Fejér vármegye;2,6;TYWB106;2024
Győr-Moson-Sopron vármegye;5,6;TYWB106;2024
Hajdú-Bihar vármegye;5,2;TYWB106;2024
Heves vármegye;14,3;TYWB106;2024
Jász-Nagykun-Szolnok vármegye;11,1;TYWB106;2024
Komárom-Esztergom vármegye;3;TYWB106;2024
Nógrád vármegye;6,7;TYWB106;2024
Pest vármegye;5,6;TYWB106;2024
Somogy vármegye;2,9;TYWB106;2024
Szabolcs-Szatmár-Bereg vármegye;9,1;TYWB106;2024
Tolna vármegye;5,9;TYWB106;2024
Vas vármegye;9,8;TYWB106;2024
Veszprém vármegye;5,9;TYWB106;2024
Zala vármegye;5,8;TYWB106;2024
Bács-Kiskun vármegye;28,16925173;TYWB107;2024
Baranya vármegye;28,72572128;TYWB107;2024
Békés vármegye;34,87007996;TYWB107;2024
Borsod-Abaúj-Zemplén vármegye;28,97424549;TYWB107;2024
Budapest;23,32660782;TYWB107;2024
Csongrád-Csanád vármegye;27,64383753;TYWB107;2024
Fejér vármegye;24,88290398;TYWB107;2024
Győr-Moson-Sopron vármegye;24,07690703;TYWB107;2024
Hajdú-Bihar vármegye;26,98520814;TYWB107;2024
Heves vármegye;29,35466792;TYWB107;2024
Jász-Nagykun-Szolnok vármegye;32,28172287;TYWB107;2024
Komárom-Esztergom vármegye;27,72716687;TYWB107;2024
Nógrád vármegye;32,53041111;TYWB107;2024
Pest vármegye;22,68503015;TYWB107;2024
Somogy vármegye;31,50417409;TYWB107;2024
Szabolcs-Szatmár-Bereg vármegye;26,39826327;TYWB107;2024
Tolna vármegye;29,27055129;TYWB107;2024
Vas vármegye;27,13103552;TYWB107;2024
Veszprém vármegye;28,18675889;TYWB107;2024
Zala vármegye;29,2140266;TYWB107;2024
Bács-Kiskun vármegye;29,01224749;TYWB108;2024
Baranya vármegye;28,49002849;TYWB108;2024
Békés vármegye;32,55872536;TYWB108;2024
Borsod-Abaúj-Zemplén vármegye;28,43081222;TYWB108;2024
Budapest;24,92241168;TYWB108;2024
Csongrád-Csanád vármegye;27,49140893;TYWB108;2024
Fejér vármegye;25,37429425;TYWB108;2024
Győr-Moson-Sopron vármegye;23,08405644;TYWB108;2024
Hajdú-Bihar vármegye;24,49856841;TYWB108;2024
Heves vármegye;29,91167115;TYWB108;2024
Jász-Nagykun-Szolnok vármegye;30,95560798;TYWB108;2024
Komárom-Esztergom vármegye;27,10285252;TYWB108;2024
Nógrád vármegye;30,82020096;TYWB108;2024
Pest vármegye;22,33730143;TYWB108;2024
Somogy vármegye;30,18862908;TYWB108;2024
Szabolcs-Szatmár-Bereg vármegye;25,08972646;TYWB108;2024
Tolna vármegye;30,58412059;TYWB108;2024
Vas vármegye;25,93310904;TYWB108;2024
Veszprém vármegye;26,63555491;TYWB108;2024
Zala vármegye;30,25779885;TYWB108;2024
Bács-Kiskun vármegye;1392,7;TYWB109;2024
Baranya vármegye;1327,9;TYWB109;2024
Békés vármegye;1491,6;TYWB109;2024
Borsod-Abaúj-Zemplén vármegye;1521,3;TYWB109;2024
Budapest;1170,1;TYWB109;2024
Csongrád-Csanád vármegye;1313,6;TYWB109;2024
Fejér vármegye;1323,1;TYWB109;2024
Győr-Moson-Sopron vármegye;1292,8;TYWB109;2024
Hajdú-Bihar vármegye;1377,5;TYWB109;2024
Heves vármegye;1434,6;TYWB109;2024
Jász-Nagykun-Szolnok vármegye;1528,3;TYWB109;2024
Komárom-Esztergom vármegye;1455;TYWB109;2024
Nógrád vármegye;1518,4;TYWB109;2024
Pest vármegye;1322,8;TYWB109;2024
Somogy vármegye;1424,8;TYWB109;2024
Szabolcs-Szatmár-Bereg vármegye;1524,2;TYWB109;2024
Tolna vármegye;1401,1;TYWB109;2024
Vas vármegye;1309,9;TYWB109;2024
Veszprém vármegye;1312,2;TYWB109;2024
Zala vármegye;1324,1;TYWB109;2024
Bács-Kiskun vármegye;102,8;TYWB110;2024
Baranya vármegye;98,3;TYWB110;2024
Békés vármegye;111;TYWB110;2024
Borsod-Abaúj-Zemplén vármegye;113;TYWB110;2024
Budapest;85,7;TYWB110;2024
Csongrád-Csanád vármegye;96,8;TYWB110;2024
Fejér vármegye;97,4;TYWB110;2024
Győr-Moson-Sopron vármegye;94,9;TYWB110;2024
Hajdú-Bihar vármegye;101,8;TYWB110;2024
Heves vármegye;105,8;TYWB110;2024
Jász-Nagykun-Szolnok vármegye;113,5;TYWB110;2024
Komárom-Esztergom vármegye;107,3;TYWB110;2024
Nógrád vármegye;112,8;TYWB110;2024
Pest vármegye;96,4;TYWB110;2024
Somogy vármegye;104,6;TYWB110;2024
Szabolcs-Szatmár-Bereg vármegye;112,2;TYWB110;2024
Tolna vármegye;103,2;TYWB110;2024
Vas vármegye;96,3;TYWB110;2024
Veszprém vármegye;96,2;TYWB110;2024
Zala vármegye;96,8;TYWB110;2024
Bács-Kiskun vármegye;-6,19682731;TYWB201;2024
Baranya vármegye;-7,13708802;TYWB201;2024
Békés vármegye;-9,39445717;TYWB201;2024
Borsod-Abaúj-Zemplén vármegye;-4,47129427;TYWB201;2024
Budapest;-4,77482707;TYWB201;2024
Csongrád-Csanád vármegye;-6,34584196;TYWB201;2024
Fejér vármegye;-4,31954103;TYWB201;2024
Győr-Moson-Sopron vármegye;-3,53055475;TYWB201;2024
Hajdú-Bihar vármegye;-3,72064777;TYWB201;2024
Heves vármegye;-6,46993734;TYWB201;2024
Jász-Nagykun-Szolnok vármegye;-7,55648522;TYWB201;2024
Komárom-Esztergom vármegye;-5,85929702;TYWB201;2024
Nógrád vármegye;-7,4537135;TYWB201;2024
Pest vármegye;-2,96172423;TYWB201;2024
Somogy vármegye;-8,22388736;TYWB201;2024
Szabolcs-Szatmár-Bereg vármegye;-2,56060873;TYWB201;2024
Tolna vármegye;-7,50428869;TYWB201;2024
Vas vármegye;-6,22928045;TYWB201;2024
Veszprém vármegye;-6,60367774;TYWB201;2024
Zala vármegye;-8,8310032;TYWB201;2024
Bács-Kiskun vármegye;73,2;TYWB202;2024
Baranya vármegye;74,1;TYWB202;2024
Békés vármegye;72,3;TYWB202;2024
Borsod-Abaúj-Zemplén vármegye;71,5;TYWB202;2024
Budapest;74,9;TYWB202;2024
Csongrád-Csanád vármegye;74,3;TYWB202;2024
Fejér vármegye;74,7;TYWB202;2024
Győr-Moson-Sopron vármegye;74,6;TYWB202;2024
Hajdú-Bihar vármegye;73;TYWB202;2024
Heves vármegye;72,4;TYWB202;2024
Jász-Nagykun-Szolnok vármegye;71,3;TYWB202;2024
Komárom-Esztergom vármegye;73,1;TYWB202;2024
Nógrád vármegye;71,7;TYWB202;2024
Pest vármegye;74,5;TYWB202;2024
Somogy vármegye;73;TYWB202;2024
Szabolcs-Szatmár-Bereg vármegye;72;TYWB202;2024
Tolna vármegye;73,8;TYWB202;2024
Vas vármegye;74,2;TYWB202;2024
Veszprém vármegye;74,2;TYWB202;2024
Zala vármegye;74,3;TYWB202;2024
Bács-Kiskun vármegye;78,9;TYWB203;2024
Baranya vármegye;80;TYWB203;2024
